Job Number,Call Date,Property Type,Loss City,County,Sale Amount
23-5049-F,2023,Townhouse,"Lorton,Virginia",Fairfax,"$2,143.63 "
23-4612-F,2023,Single Family,"Annandale,Virginia",Fairfax,"$16,045.88 "
23-4326-F,2023,Other,"Clifton,Virginia",Fairfax,"$3,361.75 "
22-4092-F,2022,Single Family,"Fairfax,Virginia",Fairfax,"$17,986.34 "
22-3974-F,2022,Commercial,"Springfield,Virginia",Fairfax,"$4,156.19 "
22-3936-F,2022,Condo,"Arlington,Virginia",Arlington,"$9,444.50 "
22-3905-F,2022,Condo,"Lorton,Virginia",Fairfax,"$9,559.22 "
22-3889-F,2022,Commercial,Washington D.C.,Washington D.C.,"$143,349.95 "
22-3888-F,2022,Commercial,Washington D.C.,Washington D.C.,
22-3882-F,2022,Commercial,Washington D.C.,Washington D.C.,
22-3802-F,2022,Single Family,"Bethesda,Maryland",Montgomery,"$18,488.75 "
22-3671-F,2022,Single Family,"Arlington,Virginia",Arlington,"$10,431.85 "
22-3435-F,2022,Commercial,Washington D.C.,Washington D.C.,"$5,000.00 "
21-3313-F,2021,Commercial,"Rockville,Maryland",Montgomery,"$11,488.67 "
21-3312-F,2021,Commercial,"Rockville,Maryland",Montgomery,"$15,652.60 "
21-3204-F,2021,Single Family,"Lorton,Virginia",Fairfax,"$1,274.39 "
21-2738-F,2021,Single Family,"Chantilly,Virginia",Loudoun,"$3,741.03 "
20-2543-F,2020,Townhouse,"Woodbridge,Virginia",Prince William County,"$7,041.19 "
20-2463-F,2020,Condo,"Woodbridge,Virginia",Prince William County,"$14,583.70 "
20-2462-F,2020,Condo,"Woodbridge,Virginia",Prince William County,"$22,452.00 "
20-2335-F,2020,Condo,"Falls Church,Virginia",Fairfax,"$5,494.77 "
20-2135-F,2020,Condo,"Arlington,Virginia",Arlington,"$3,873.28 "
20-2102-F,2020,Commercial,"Springfield,Virginia",Fairfax,"$19,859.53 "
20-2074-F,2020,Condo,"Reston,Virginia",Fairfax,"$7,188.47 "
20-2073-F,2020,Townhouse,"Fairfax,Virginia",Fairfax,"$16,338.07 "
20-2056-F,2020,Apartment,"Arlington,Virginia",Arlington,"$1,693.38 "
20-2003-F,2020,Single Family,"Falls Church,Virginia",Fairfax,"$2,488.76 "
20-1960-F,2020,Single Family,"Annandale,Virginia",Fairfax,"$2,580.15 "
19-1590-F,2019,Condo,"Upper Marlboro, Maryland ",Prince George's County,"$9,426.32 "
19-1588-F,2019,Townhouse,"Arlington,Virginia",Arlington,"$7,106.92 "
18-1428-F,2018,Townhouse,"Alexandria,Virginia",Fairfax,"$3,108.54 "
18-1426-F,2018,Single Family,"Herndon,Virginia",Fairfax,"$24,516.54 "
18-1412-F,2018,Townhouse,"Alexandria,Virginia",Fairfax,"$13,972.65 "
