Item #,Description,Type,Qty Sold 01/01/22 to 12/31/22,Average Unit Price 01/01/22 to 12/31/22,Sales $$ 01/01/22 to 12/31/22,Qty Sold 01/01/21 to 12/31/21,Average Unit Price 01/01/21 to 12/31/21,Sales $$ 01/01/21 to 12/31/21
 2685-2044 ," PHOENIX 4042250-02 BLUE FOCUS II DUAL AXIAL AIR MOVER, 1015CFM, 1.1AMP                              ", RESTORATION    ,150,$245.54,"$36,830.50",50,$240.67,"$12,033.50"
 A81834    ," BLACK 3 MIL NO PRINT 33"" X 48"" 42-GALLON, (32) PERFORATED FOLDED IN HALF POLY BAGS PER ROLL IN BOX  ", NS.PLASTIC     ,457,$18.57,"$8,484.99",229,$15.07,"$3,450.95"
16058, CLEAR 10' X 100' 6 MIL POLY SHEETING                                                                , NS.PLASTIC     ,217,$37.33,"$8,100.14",54,$39.42,"$2,128.68"
 1609-6238 ," BIOESQUE BOTANICAL DISINFECTANT SOLUTION, 55 GALLON DRUM                                            ", RESTORATION    ,6,"$1,050.00","$6,300.00",1,"$1,050.00","$1,050.00"
 A97891    ," DRAGON SKIN PREMIUM BLUE 14 DAY PAINTERS TAPE 72MM X 55M 3""X60 YDS                                  ", TAPE ADH RMVRS ,430,$11.06,"$4,756.88",256,$9.90,"$2,535.36"
 1698-4179 , SHURTAPE DS154 DOUBLE SIDED 48mm X 25 YDS NATURAL PROF HIGH PERFORMANCE                             , TAPE ADH RMVRS ,192,$18.53,"$3,557.04",96,$16.22,"$1,557.12"
 1610-5886 ," DRI-EAZ F568 STEALTH AV3000 AXIAL AIRMOVER, 113164                                                  ", RESTORATION    ,7,$450.00,"$3,150.00",5,$425.04,"$2,125.20"
57543, FIBERLOCK 8360 5 GALLON PAIL WHITE IAQ 6000 MOLD RESISTANT COATING                                  , NS.CHEMICALS   ,9,$319.42,"$2,874.81",3,$256.48,$769.45
 1611-0468 , PROTIMETER BLD5365 SURVEYMASTER SM MOISTURE METER PACKAGE                                           , NS.EQUIPMENT   ,4,$617.21,"$2,468.84",2,$565.87,"$1,131.73"
 A62881    ," 133-3 72mm X 55m 7.5MIL YELLOW FR-RATED POLY TAPE WITH PINKED EDGES, (16) ROLLS PER CASE            ", TAPE ADH RMVRS ,16,$112.13,"$1,794.07",12,$102.20,"$1,226.36"
 1653-2677 , ZIPWALL SLP4 12' DUST SHIELD BARRIER SYSTEM WITH (4) SPRING LOADED POLES                            , NS.TOOLSACC    ,4,$280.76,"$1,123.02",5,$246.65,"$1,233.25"
 1623-4977 ," H20GWD SYCLONE 20 GALLON WET / DRY 2HP W/TOOL TRIGGER & 115V OUTLET HEPA VACUUM INCLUDES 1-1/2"" TOOL", NS.EQUIPMENT   ,1,"$1,085.39","$1,085.39",1,"$1,005.70","$1,005.70"
