Date,Catagory,Subcatagory,Amount
Apr-23,Income,Plumbing,"75,456.00"
Apr-23,Income,Sales,"63,579.91"
Apr-23,COGS,Materials,0
Apr-23,COGS,"Sponges,Rags,Tape, etc",42.55
Apr-23,COGS,Vehicle Fuel,1195.46
Apr-23,COGS,Payroll Taxes (COGS),"2,759.75"
Apr-23,COGS,Labor,"36,472.59"
Apr-23,COGS,Bene/WC -Prod - Medical Ins,"-2,387.76"
Apr-23,COGS,Bene/WC -Prod - Aflac Ins,-384.32
Apr-23,COGS,Building Materials/Hardware/Paint,"12,697.63"
Apr-23,COGS,Bath,"3,138.53"
Apr-23,COGS,"Doors, Windows & Treatments",326.29
Apr-23,COGS,Electrical & Lighting,380.03
Apr-23,COGS,Flooring,"1,975.69"
Apr-23,COGS,Plumbing,"2,274.14"
Apr-23,COGS,Waste Removal,159.1
Apr-23,COGS,Small Tool / Equip. Replacement,788.87
Apr-23,COGS,Subcontractors,"88,468.96"
Apr-23,COGS,Referral Fees & Expense,500
Apr-23,COGS,Vehicle Expense,426.15
Apr-23,COGS,Highway Toll Fees,315
Apr-23,Expenses,Salary Officers,"4,000.00"
Apr-23,Expenses,Salaries - Administration,"6,382.50"
Apr-23,Expenses,Salaries - Project Managers,"20,010.16"
Apr-23,Expenses,Payroll Taxes,"2,207.53"
Apr-23,Expenses,Payroll Service Fees,263.55
Apr-23,Expenses,Education & Training,29.95
Apr-23,Expenses,Uniform,-285.38
Apr-23,Expenses,Medical Insurance,"4,728.68"
Apr-23,Expenses,Cell Phones,120
Apr-23,Expenses,Insurance Expense,"1,934.32"
Apr-23,Expenses,Advertising and Marketing,"1,584.89"
Apr-23,Expenses,Lead Generators,299
Apr-23,Expenses,Computer Software,"1,353.40"
Apr-23,Expenses,Building & Shop Expense,392.58
Apr-23,Expenses,Utilities Expense,338.05
Apr-23,Expenses,Vehicle Expense,363.39
Apr-23,Expenses,Professional Fees,700
Apr-23,Expenses,Bank/Credit Card/Merchant Fees,399.17
Apr-23,Expenses,Conferences & Travel,130
Apr-23,Expenses,Parking and Toll Fees,25
Apr-23,Expenses,Meals and Entertainment,40.87
Apr-23,Expenses,Miscellaneous Expense,2.39
Apr-23,Expenses,License and Permits,469.25
Apr-23,Expenses,Rent Expense,"3,720.45"
May-23,Income,Plumbing,"6,055.55"
May-23,Income,Sales,"193,784.22"
May-23,Income,Other Income,"1,354.94"
May-23,COGS,Materials,432.13
May-23,COGS,"Sponges,Rags,Tape, etc",0
May-23,COGS,Vehicle Fuel,"1,463.16"
May-23,COGS,Payroll Taxes (COGS),"2,906.57"
May-23,COGS,Labor,"38,431.34"
May-23,COGS,Bene/WC -Prod - Medical Ins,"-2,663.18"
May-23,COGS,Bene/WC -Prod - Aflac Ins,-455.7
May-23,COGS,Building Materials/Hardware/Paint,"18,450.18"
May-23,COGS,Bath,"1,785.05"
May-23,COGS,"Doors, Windows & Treatments","1,975.95"
